hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
304,1433.994,764.2902,873.67,1232.12,1690.69,4844,0.8414534,0.3486788,0.5329799,1.935158584,0.532980054
307,1274.065,952.9977,712.6,819,1419,6217,0.3678623,0.2329098,0.7479978,1.991299467,0.747997708
308,2194.489,1375.788,1321.04,1828,2802.795,9192,0.6016101,0.627067,0.6269288,2.121657936,0.626928638
309,1260.586,1168.698,633,724,1237.24,3997,0.255942,0.2219164,0.9271065,1.954565561,0.927106917
311,1313.352,1274.027,583,931.5,1335.1,28023,0.3080684,0.2148235,0.9700575,2.290051458,0.970057532
312,1376.063,1023.925,530,1105.4,1871.75,7332,0.6159301,0.3589744,0.7440971,3.531603774,0.744097472
313,1056.046,914.624,500,750,1191.16,8812,0.4123922,0.1829324,0.8660836,2.38232,0.866083485
314,1452.289,1295.485,511,835,2147,1634,0.3831089,0.3463892,0.8920297,4.201565558,0.892029754
315,1296.63,1580.227,458,458,989.96,2841,0.2439282,0.2323126,1.218718,2.161484716,1.218718524
318,859.354,832.2149,510,545,765,17496,0.2438843,0.1267718,0.9684192,1.5,0.968419185
319,971.3583,876.3229,485,485,1173,5771,0.4297349,0.1831572,0.9021624,2.418556701,0.902162364
320,918.649,930.5256,460,600,750,11532,0.2579778,0.1465487,1.012928,1.630434783,1.012928333
321,1869.981,1220.616,792,1627.83,2392.2,1076,0.6319703,0.580855,0.6527425,3.020454545,0.652742461
322,1830.801,914.8486,1286.99,1439,2286.15,1308,0.9342508,0.4770642,0.4996986,1.776354129,0.499698547
323,1040.35,668.8837,606.42,756.27,1192.75,795,0.9748428,0.1283019,0.6429413,1.966871145,0.642941029
324,1782.958,1064.08,1188.64,1357.92,2102.26,331,0.4712991,0.3655589,0.5968063,1.768626329,0.596805982
325,1103.099,775.711,548,750,1588,6450,0.3882171,0.2868217,0.7032104,2.897810219,0.703210682
326,809.7212,737.511,445,485,773,3947,0.2069927,0.1241449,0.9108209,1.737078652,0.91082091
327,1317.679,901.0344,510,1147,1894,48560,0.5278212,0.4532331,0.6838042,3.71372549,0.683804174
328,1251.422,937.3937,634,892.5,1613,23481,0.4682509,0.2937268,0.749063,2.544164038,0.749062826
329,1333.545,1017.188,645,967.5,1678.95,65229,0.4194607,0.3088657,0.76277,2.603023256,0.76276991
330,1523.333,1489.377,562,736,2020.01,18915,0.3686492,0.3231827,0.9777091,3.594323843,0.977709404
331,1157.751,825.3281,634,852,1461.13,1888,0.4051907,0.2447034,0.7128717,2.304621451,0.712871852
332,1121.73,1106.092,558,663,1054.5,10793,0.2364496,0.2005003,0.9860593,1.889784946,0.986059034
334,1338.491,995.7296,575,1153.99,1687.22,7231,0.5869175,0.2851611,0.7439197,2.934295652,0.743919533
335,1185.585,761.6266,702,1003,1446,4389,0.6443381,0.2294372,0.6424055,2.05982906,0.642405732
336,1945.403,1123.963,1230.475,1675.045,2423.47,712,0.8300562,0.5912921,0.5777535,1.969540218,0.577753298
339,1265.74,1084.4,561.75,826.58,1643.99,18577,0.5967056,0.2788933,0.8567322,2.926550957,0.85673203
